names	district	location	xaxis	yaxis	roomspace	orientation	numrooms	height	floors	owner	postdate	attrs	price
整租 ·  万寿路 万方苑精装修 朝南向 一居室 诚心出租	海淀	公主坟	116.303762	39.92129	67㎡	南	1室1厅1卫	中楼层	（14层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	7500
整租 ·   纯南向的一居室，保持干净，二层，出行方便	顺义	顺义城	116.659766	40.128078	43㎡	南	1室0厅1卫	低楼层	（6层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	3500
整租 ·   新城国际，三期loft户型，精装修 复式	朝阳	东大桥	116.462122	39.923796	137㎡	东北	1室1厅2卫	低楼层	（31层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'two_bathroom': '双卫生间', 'is_key': '随时看房'}	27000
整租 ·   乐成国际 开间 家具齐全 装修温馨 随时看房拎包入住	朝阳	双井	116.479137	39.902193	62㎡	东	1室0厅1卫	低楼层	（12层）	链家	12天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	8500
整租 ·   整租 新城国际开间，精装修，随时拎包入住。	朝阳	东大桥	116.462122	39.923796	72㎡	东	1室0厅1卫	高楼层	（30层）	链家	28天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	17500
铁二区 1室1厅 6700元	西城	月坛	116.354135	39.916877	44㎡	南	1室1厅1卫	低楼层	（6层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6700
糖人街 1室0厅 4900元	丰台	太平桥	116.323091	39.888033	43㎡	西	1室0厅1卫	中楼层	（20层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4900
整租 · 富华家园 1室0厅 5100元	朝阳	高碑店	116.534997	39.928559	52㎡	北	1室0厅1卫	高楼层	（22层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5100
整租 ·   看房方便  户型方正  随时可住	西城	陶然亭	116.403304	39.891691	54㎡	东	1室1厅1卫	高楼层	（7层）	链家	1个月前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5500
华清嘉园 1室0厅 8000元	海淀	五道口	116.343714	39.996907	51㎡	西	1室0厅1卫	中楼层	（19层）	链家	29天前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	8000
整租 · 博雅国际 1室1厅 8300元	朝阳	望京	116.475489	40.01952	65㎡	南	1室1厅1卫	低楼层	（26层）	链家	25天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	8300
整租 ·   有钥匙随时入住 中间楼层，朝南 户型方正。	丰台	马家堡	116.381203	39.852992	42㎡	南	1室1厅1卫	中楼层	（6层）	链家	23天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4700
整租 ·   建设部大院 白石桥地铁 一居室 中间楼层	海淀	甘家口	116.338384	39.934691	43㎡	东	1室1厅1卫	中楼层	（6层）	链家	23天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	7600
远见名苑开间 适合居家 小区环境好	西城	广安门	116.344985	39.891739	70㎡	西	1室0厅1卫	低楼层	（24层）	链家	23天前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	4800
整租 ·   双井 富力城A区 精装一居，拎包入住	朝阳	双井	116.465491	39.901678	71㎡	南	1室1厅1卫	高楼层	（28层）	链家	19天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	11000
整租 ·     后现代城C区高楼层 户型方正 带衣帽间/储物间	朝阳	大望路	116.494145	39.904158	64㎡	西	1室1厅1卫	中楼层	（27层）	链家	22天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6800
整租 · 玉泉西路甲3号院 1室0厅 4300元	石景山	玉泉路	116.252087	39.91772	39㎡	东	1室0厅1卫	中楼层	（9层）	链家	20天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4300
太平桥西里 1室1厅 4800元	丰台	太平桥	116.320535	39.890098	49㎡	东	1室1厅1卫	中楼层	（15层）	链家	21天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4800
整租 · 东晶国际 1室1厅 4800元	亦庄开发区	亦庄	116.500382	39.805889	53㎡	西	1室1厅1卫	高楼层	（18层）	链家	21天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4800
四平园 1室1厅 5000元	西城	陶然亭	116.386269	39.888411	48㎡	南	1室1厅1卫	中楼层	（6层）	链家	20天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5000
整租 · 长景新园 1室0厅 3100元	房山	长阳	116.225785	39.802262	49㎡	南	1室0厅1卫	中楼层	（11层）	链家	18天前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	3100
整租 · 新源街 1室1厅 5300元	朝阳	三元桥	116.46028	39.957618	46㎡	东南	1室1厅1卫	低楼层	（16层）	链家	17天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5300
诚心出租，领行国际朝北开间。。	东城	广渠门	116.448361	39.898946	58㎡	北	1室0厅1卫	中楼层	（21层）	链家	17天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6800
整租 ·   后现代A区 开间  交通便利  看房随时	朝阳	大望路	116.493655	39.905367	51㎡	北	1室0厅1卫	低楼层	（14层）	链家	16天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6300
整租 · 大望路 光辉南里 南北向一居室 中间楼层	朝阳	CBD	116.479904	39.911507	59㎡	南 北	1室1厅1卫	中楼层	（6层）	链家	16天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5800
华业东方玫瑰D区 1室1厅 4600元	通州	临河里	116.689421	39.885738	68㎡	西南	1室1厅1卫	中楼层	（27层）	链家	7天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4600
整租 ·   新小区、精装修、带电梯一居，看房方便！	东城	永定门	116.416543	39.869811	48㎡	北	1室1厅1卫	中楼层	（11层）	链家	8天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_key': '随时看房'}	5300
整租 · 车公庄北里 1室1厅 6500元	西城	车公庄	116.353434	39.940291	46㎡	南	1室1厅1卫	高楼层	（18层）	链家	16天前发布	{'rent_period_month': '月租', 'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6500
整租 ·   东二环 朝阳门 南大街 精装 一居室 可短租	朝阳	朝阳门外	116.442322	39.922354	58㎡	西北	1室1厅1卫	高楼层	（20层）	链家	16天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	7300
长椿街 1室1厅 5500元	西城	长椿街	116.370295	39.90216	39㎡	南	1室1厅1卫	低楼层	（6层）	链家	12天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5500
整租 ·   真武庙二里一居室，带电梯，视野广阔	西城	木樨地	116.350898	39.91087	49㎡	西北	1室1厅1卫	低楼层	（18层）	链家	14天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5800
和平街十一区 1室1厅 5100元	朝阳	和平里	116.428122	39.973788	33㎡	北	1室1厅1卫	中楼层	（5层）	链家	14天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5100
整租 ·   洋桥西罗园精装一居家电全齐拎包入住	丰台	西罗园	116.397839	39.868935	41㎡	东	1室1厅1卫	高楼层	（6层）	链家	9天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4500
远洋山水 1室0厅 5700元	石景山	鲁谷	116.247008	39.906426	58㎡	西北	1室0厅1卫	低楼层	（25层）	链家	14天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5700
DBC加州小镇 1室0厅 3300元	通州	临河里	116.689244	39.873245	43㎡	南	1室0厅1卫	高楼层	（11层）	链家	8天前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	3300
清秀园北区 1室0厅 3000元	昌平	东关	116.250886	40.225155	44㎡	西	1室0厅1卫	高楼层	（19层）	链家	11天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	3000
整租 ·    主场精装修开间 家具家电都有 随时入住	朝阳	亚运村小营	116.427702	40.007441	62㎡	北	1室0厅1卫	低楼层	（24层）	链家	14天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	7500
整租 ·   百子湾大成国际东四环公寓开间家电家具齐全	朝阳	百子湾	116.49954	39.904937	48㎡	东	1室0厅1卫	低楼层	（21层）	链家	14天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5800
整租 ·   团结湖公寓精装一居室 楼层高 采光好	朝阳	团结湖	116.477613	39.934452	53㎡	西北	1室1厅1卫	高楼层	（20层）	链家	14天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_key': '随时看房'}	6800
安苑东里一区 1室0厅 5600元	朝阳	惠新西街	116.420136	39.989832	34㎡	北	1室0厅1卫	低楼层	（6层）	链家	10天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5600
整租 · 向军北里 1室1厅 6300元	朝阳	东大桥	116.467591	39.931474	44㎡	东	1室1厅1卫	高楼层	（15层）	链家	11天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6300
整租 ·   御鑫阁一居室 精装修 家具家电齐全	丰台	科技园区	116.305143	39.825059	38㎡	东	1室0厅1卫	低楼层	（20层）	链家	11天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4450
整租 ·   远见名苑朝南开间，看房方便达官营地铁	西城	广安门	116.344985	39.891739	51㎡	南	1室0厅1卫	低楼层	（24层）	链家	12天前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	5300
柏林爱乐四期 1室1厅 5500元	朝阳	常营	116.591814	39.929959	59㎡	南 北	1室1厅1卫	低楼层	（8层）	链家	12天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5500
整租 · 万年花城四期 1室1厅 5000元	丰台	玉泉营	116.321999	39.852545	53㎡	西	1室1厅1卫	低楼层	（27层）	链家	8天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5000
整租 ·   荣丰二期东南开间精装家具齐全拎包入住长租达官营	西城	广安门	116.343245	39.900529	29㎡	东南	1室0厅1卫	中楼层	（20层）	链家	11天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	3900
云立方 1室1厅 3500元	大兴	天宫院	116.325989	39.686151	51㎡	东南	1室1厅1卫	中楼层	（21层）	链家	11天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	3500
北京经开壹中心 1室0厅 4200元	亦庄开发区	亦庄	116.561137	39.784679	44㎡	南	1室0厅1卫	中楼层	（11层）	链家	10天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4200
整租 · 安华西里社区 1室1厅 5600元	朝阳	安贞	116.402242	39.973402	37㎡	东南	1室1厅1卫	高楼层	（6层）	链家	11天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5600
建研院 1室1厅 6500元	朝阳	和平里	116.419819	39.972909	41㎡	南	1室1厅1卫	高楼层	（7层）	链家	10天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6500
整租 · 华龙美树 1室0厅 4000元	朝阳	管庄	116.586465	39.918172	37㎡	北	1室0厅1卫	高楼层	（19层）	链家	8天前发布	{'is_subway_house': '近地铁', 'is_key': '随时看房'}	4000
知春东里 1室1厅 8000元	海淀	双榆树	116.333734	39.980703	44㎡	南	1室1厅1卫	低楼层	（6层）	链家	10天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	8000
整租 · 潘家园 华威西里 简装 南向一居室 有钥匙 长租	朝阳	潘家园	116.460032	39.879667	44㎡	南	1室1厅1卫	中楼层	（6层）	链家	10天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4500
牛街西里精装修一居室，业主诚心出租	西城	牛街	116.368316	39.892214	58㎡	东南	1室1厅1卫	中楼层	（20层）	链家	10天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6200
整租 · 新通国际花园 1室0厅 3900元	通州	梨园	116.679317	39.889108	57㎡	东	1室0厅1卫	低楼层	（28层）	链家	9天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	3900
整租 ·       双井 精装 南向一居室 拎包入住 看房方便	朝阳	双井	116.454043	39.903712	48㎡	南	1室0厅1卫	高楼层	（6层）	链家	9天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6000
整租 ·   和平街十五区精装一居室，业主诚心出租。	朝阳	和平里	116.437104	39.971099	48㎡	南	1室1厅1卫	高楼层	（18层）	链家	8天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5900
整租 · 冠英园小区 1室1厅 6800元	西城	官园	116.372422	39.944412	53㎡	西	1室1厅1卫	中楼层	（10层）	链家	8天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6800
整租 · 右外东庄 1室1厅 4200元	丰台	北京南站	116.385656	39.875477	43㎡	南	1室1厅1卫	高楼层	（6层）	链家	8天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	4200
整租 ·  晶都国际 精装修 颐堤港 酒仙桥 将台 798 兆维	朝阳	酒仙桥	116.498241	39.971858	49㎡	西南	1室0厅1卫	高楼层	（21层）	链家	8天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_key': '随时看房'}	5600
整租 ·   双井首城国际精装开间，拎包入住，诚意出租	朝阳	双井	116.47449	39.897723	47㎡	东	1室0厅1卫	中楼层	（28层）	链家	8天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6900
整租 ·   近奥森 观澳园精装一居 看房方便 电梯房	海淀	清河	116.377572	40.039146	41㎡	东	1室0厅1卫	中楼层	（6层）	链家	7天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5000
整租 · 蓝调沙龙东区 1室0厅 3600元	通州	九棵树(家乐福)	116.658104	39.8932	45㎡	南	1室0厅1卫	高楼层	（18层）	链家	8天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_key': '随时看房'}	3600
整租 · 远洋山水 1室1厅 6000元	石景山	鲁谷	116.247008	39.906426	71㎡	东	1室1厅1卫	高楼层	（25层）	链家	8天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6000
德胜里一区 1室1厅 6100元	西城	德胜门	116.383332	39.962892	48㎡	南	1室1厅1卫	高楼层	（18层）	链家	7天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	6100
整租 ·   精装开间，北向高层，正观小区花园，随时看房	朝阳	双井	116.476447	39.903804	55㎡	北	1室0厅1卫	中楼层	（23层）	链家	2天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	7800
光熙门北里 1室1厅 5500元	朝阳	西坝河	116.442298	39.970551	46㎡	南	1室1厅1卫	中楼层	（18层）	链家	7天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_key': '随时看房'}	5500
育新花园 1室1厅 5100元	海淀	西三旗	116.352299	40.062427	47㎡	南	1室1厅1卫	中楼层	（5层）	链家	3天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5100
整租 · 荣丰2008 1室0厅 3700元	西城	广安门	116.343245	39.900529	30㎡	北	1室0厅1卫	中楼层	（26层）	链家	6天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	3700
整租 ·   紧邻地铁站   社区安静   南向一居室   拎包入住	朝阳	望京	116.473169	39.994603	65㎡	南	1室1厅1卫	中楼层	（19层）	链家	6天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_new': '新上', 'is_key': '随时看房'}	7500
整租 ·   远见名苑朝东开间，看房方便达官营地铁	西城	广安门	116.344985	39.891739	47㎡	东	1室1厅1卫	中楼层	（24层）	链家	6天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_new': '新上', 'is_key': '随时看房'}	5200
整租 · 华严北里小区 1室1厅 5000元	朝阳	健翔桥	116.390213	39.989129	49㎡	南 北	1室1厅1卫	中楼层	（6层）	链家	6天前发布	{'rent_period_month': '月租', 'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5000
远洋山水 1室1厅 5800元	石景山	鲁谷	116.247008	39.906426	70㎡	东	1室1厅1卫	低楼层	（26层）	链家	6天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5800
整租 · 格调 1室1厅 6900元	西城	马连道	116.333306	39.891491	73㎡	西南	1室1厅1卫	中楼层	（24层）	链家	6天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6900
整租 · 北影小区精装修大一居 高楼层无遮挡	海淀	北太平庄	116.36465	39.980549	60㎡	东 西	1室1厅1卫	高楼层	（6层）	链家	6天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	8500
整租 ·   延静东里电梯精装修大一居  6号线14号线地铁	朝阳	甜水园	116.491703	39.929224	61㎡	南	1室1厅1卫	低楼层	（26层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6200
整租 · 知春里 1室1厅 7000元	海淀	双榆树	116.328627	39.979037	49㎡	南	1室1厅1卫	高楼层	（18层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	7000
应用文理学院 1室1厅 6500元	海淀	牡丹园	116.362635	39.982803	42㎡	南	1室1厅1卫	中楼层	（18层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6500
整租 ·    和平街十二区家电全朝东向小一居	朝阳	和平里	116.432683	39.973614	31㎡	东	1室1厅1卫	中楼层	（4层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5300
整租 · 瞰都国际 1室0厅 6700元	朝阳	朝阳公园	116.493333	39.967187	45㎡	东北	1室0厅1卫	低楼层	（27层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6700
整租 · 万方景轩 1室1厅 8000元	朝阳	太阳宫	116.455099	39.978117	54㎡	西	1室1厅1卫	中楼层	（20层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'is_new': '新上', 'is_key': '随时看房'}	8000
整租 · 雅丽世居 1室0厅 3600元	通州	果园	116.651427	39.902087	51㎡	南	1室0厅1卫	低楼层	（18层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	3600
整租 · 水碓子东里 1室1厅 5400元	朝阳	甜水园	116.481925	39.929322	38㎡	南	1室1厅1卫	高楼层	（6层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5400
整租 ·   天鹅湾精装loft，家具家电齐全，拎包入住 复式	朝阳	朝青	116.529466	39.928033	47㎡	东	1室1厅2卫	高楼层	（8层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'two_bathroom': '双卫生间', 'is_new': '新上', 'is_key': '随时看房'}	9500
展春园 1室1厅 6000元	海淀	五道口	116.349984	39.992769	44㎡	南 北	1室1厅1卫	中楼层	（6层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6000
整租 · 高家园一居 可接受2人合租 朝南 有钥匙	朝阳	酒仙桥	116.487649	39.985143	38㎡	东南	1室1厅1卫	低楼层	（6层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5300
整租 · 华馨公寓 1室0厅 6200元	朝阳	亚运村	116.408697	40.010801	39㎡	东	1室0厅1卫	高楼层	（6层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6200
整租 ·   小清新精装南向开间采光充沛家具家电齐全拎包入住！	朝阳	大望路	116.483602	39.893412	43㎡	南	1室0厅1卫	中楼层	（21层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6000
宣武门西大街 1室1厅 6500元	西城	金融街	116.371787	39.905909	43㎡	南	1室1厅1卫	低楼层	（12层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	6500
整租 · 远洋新干线 1室1厅 9800元	朝阳	燕莎	116.46615	39.963231	72㎡	北	1室1厅1卫	中楼层	（23层）	链家	4天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	9800
整租 ·   东直门地铁 有电梯 业主诚意出租朝南	东城	东直门	116.435413	39.946591	54㎡	南	1室1厅1卫	高楼层	（12层）	链家	4天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	7300
整租 ·    东湖湾三期 精装 开间 观景北小河	朝阳	望京	116.47136	40.012307	47㎡	南	1室0厅1卫	低楼层	（28层）	链家	3天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	8200
整租 · 美然动力A2区 1室0厅 4500元	朝阳	定福庄	116.566103	39.92841	39㎡	北	1室0厅1卫	低楼层	（14层）	链家	3天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	4500
曦景长安 1室0厅 5100元	石景山	古城	116.192778	39.9147	62㎡	南	1室0厅1卫	中楼层	（14层）	链家	3天前发布	{'is_subway_house': '近地铁', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5100
整租 ·   潘家园 松榆里南向精装一居室 拎包入住	朝阳	潘家园	116.475341	39.880705	43㎡	南	1室1厅1卫	中楼层	（18层）	链家	2天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	4800
整租 · 远洋山水 1室1厅 5500元	石景山	鲁谷	116.247008	39.906426	60㎡	东北	1室1厅1卫	高楼层	（26层）	链家	2天前发布	{'is_subway_house': '近地铁', 'decoration': '精装', 'central_heating': '集中供暖', 'is_new': '新上', 'is_key': '随时看房'}	5500
